Name,Year,Variable,Value,Geography Type,Date,Location
Chelan County,2018,Graduate/Professional Degree,0.107,County,12/31/2018 12:00:00 AM,POINT (-120.619041 47.860974)
Cowlitz County,2014,Percent Associate's Degree or Higher,0.237,County,12/31/2014 12:00:00 AM,POINT (-122.658682 46.185923)
Whatcom County,2010,Graduate/Professional Degree,0.116,County,12/31/2010 12:00:00 AM,POINT (-121.836432 48.842653)
Chelan County,2010,Percent Associate's Degree or Higher,0.309,County,12/31/2010 12:00:00 AM,POINT (-120.619041 47.860974)
Whatcom County,2017,Graduate/Professional Degree,0.109,County,12/31/2017 12:00:00 AM,POINT (-121.836432 48.842653)
Lewis County,2014,Graduate/Professional Degree,0.053,County,12/31/2014 12:00:00 AM,POINT (-122.377444 46.580071)
Snohomish County,2011,Percent High School Graduate or Higher,0.912,County,12/31/2011 12:00:00 AM,POINT (-121.766412 48.054913)
King County,2019,Percent Associate's Degree,0.073,County,12/31/2019 12:00:00 AM,POINT (-121.833996 47.490599)
Franklin County,2011,Graduate/Professional Degree,0.068,County,12/31/2011 12:00:00 AM,POINT (-118.906944 46.53458)
Washington,2015,Percent Bachelor's Degree or Higher,0.342,State,12/31/2015 12:00:00 AM,POINT (47.4073238 -120.5757999)
Grant County,2014,Percent Bachelor's Degree or Higher,0.154,County,12/31/2014 12:00:00 AM,POINT (-119.467788 47.213633)
Yakima County,2011,Percent Associate's Degree or Higher,0.249,County,12/31/2011 12:00:00 AM,POINT (-120.740145 46.456558)
Chelan County,2015,Percent Associate's Degree or Higher,0.305,County,12/31/2015 12:00:00 AM,POINT (-120.619041 47.860974)
Clark County,2014,Graduate/Professional Degree,0.091,County,12/31/2014 12:00:00 AM,POINT (-122.485903 45.771674)
Whatcom County,2017,Percent Associate's Degree,0.121,County,12/31/2017 12:00:00 AM,POINT (-121.836432 48.842653)
Clallam County,2013,Graduate/Professional Degree,0.111,County,12/31/2013 12:00:00 AM,POINT (-123.88986 48.110903)
Franklin County,2014,Percent Associate's Degree or Higher,0.246,County,12/31/2014 12:00:00 AM,POINT (-118.906944 46.53458)
King County,2016,Percent High School Graduate or Higher,0.923,County,12/31/2016 12:00:00 AM,POINT (-121.833996 47.490599)
Snohomish County,2017,Percent Associate's Degree or Higher,0.429,County,12/31/2017 12:00:00 AM,POINT (-121.766412 48.054913)
Whatcom County,2015,Percent Associate's Degree,0.106,County,12/31/2015 12:00:00 AM,POINT (-121.836432 48.842653)
Yakima County,2012,Percent High School Graduate or Higher,0.707,County,12/31/2012 12:00:00 AM,POINT (-120.740145 46.456558)
Skagit County,2016,Percent Associate's Degree or Higher,0.356,County,12/31/2016 12:00:00 AM,POINT (-121.81577 48.493292)
Benton County,2010,Percent Associate's Degree,0.093,County,12/31/2010 12:00:00 AM,POINT (-119.516666 46.22812)
Pierce County,2019,Graduate/Professional Degree,0.095,County,12/31/2019 12:00:00 AM,POINT (-122.153242 47.051415)
Yakima County,2016,Percent Bachelor's Degree or Higher,0.159,County,12/31/2016 12:00:00 AM,POINT (-120.740145 46.456558)
Grant County,2018,Percent High School Graduate or Higher,0.76,County,12/31/2018 12:00:00 AM,POINT (-119.467788 47.213633)
Clallam County,2011,Percent Associate's Degree,0.087,County,12/31/2011 12:00:00 AM,POINT (-123.88986 48.110903)
Benton County,2016,Graduate/Professional Degree,0.116,County,12/31/2016 12:00:00 AM,POINT (-119.516666 46.22812)
Island County,2014,Percent Associate's Degree,0.115,County,12/31/2014 12:00:00 AM,POINT (-122.670649 48.158554)
Clallam County,2015,Percent Associate's Degree,0.088,County,12/31/2015 12:00:00 AM,POINT (-123.88986 48.110903)
King County,2018,Percent Associate's Degree or Higher,0.611,County,12/31/2018 12:00:00 AM,POINT (-121.833996 47.490599)
Clallam County,2012,Percent High School Graduate or Higher,0.921,County,12/31/2012 12:00:00 AM,POINT (-123.88986 48.110903)
Kitsap County,2016,Percent Bachelor's Degree or Higher,0.319,County,12/31/2016 12:00:00 AM,POINT (-122.649636 47.639687)
Franklin County,2017,Percent High School Graduate or Higher,0.77,County,12/31/2017 12:00:00 AM,POINT (-118.906944 46.53458)
King County,2019,Percent High School Graduate or Higher,0.93,County,12/31/2019 12:00:00 AM,POINT (-121.833996 47.490599)
Spokane County,2019,Percent Associate's Degree or Higher,0.442,County,12/31/2019 12:00:00 AM,POINT (-117.403371 47.620375)
Island County,2011,Percent Bachelor's Degree or Higher,0.306,County,12/31/2011 12:00:00 AM,POINT (-122.670649 48.158554)
Kitsap County,2018,Percent Bachelor's Degree or Higher,0.337,County,12/31/2018 12:00:00 AM,POINT (-122.649636 47.639687)
Chelan County,2019,Percent High School Graduate or Higher,0.825,County,12/31/2019 12:00:00 AM,POINT (-120.619041 47.860974)
Snohomish County,2012,Graduate/Professional Degree,0.085,County,12/31/2012 12:00:00 AM,POINT (-121.766412 48.054913)
King County,2013,Percent Associate's Degree,0.079,County,12/31/2013 12:00:00 AM,POINT (-121.833996 47.490599)
Franklin County,2019,Percent Associate's Degree or Higher,0.272,County,12/31/2019 12:00:00 AM,POINT (-118.906944 46.53458)
Whatcom County,2013,Percent Associate's Degree,0.098,County,12/31/2013 12:00:00 AM,POINT (-121.836432 48.842653)
Cowlitz County,2019,Graduate/Professional Degree,0.05,County,12/31/2019 12:00:00 AM,POINT (-122.658682 46.185923)
