name,allegiance,season,episode,location,killer,killers_house,method,death_no
Waymar Royce,Night's Watch,1,1,Beyond the Wall,White Walker,None,Ice sword,1
Gared,Night's Watch,1,1,Beyond the Wall,White Walker,None,Ice sword,2
Will,Night's Watch,1,1,Winterfell,Ned Stark,House Stark,Sword,3
Stag,None,1,1,Winterfell,Direwolf,None,Teeth,4
Direwolf,None,1,1,Winterfell,Stag,None,Antler,5
Jon Arryn,House Arryn,1,1,King's Landing,Lysa Arryn,House Arryn,Poison,6
Dothraki man,Dothraki,1,1,Pentos,Dothraki man,Dothraki,Arakh,7
Catspaw assassin,None,1,2,Winterfell,Summer,House Stark,Teeth,8
Mycah,Smallfolk,1,2,Kingsroad,"Sandor ""the Hound"" Clegane",House Lannister,Sword,9
Lady,House Stark,1,2,Kingsroad,Ned Stark,House Stark,Knife,10
Ser Hugh of the Vale,House Arryn,1,4,King's Landing,"Gregor ""the Mountain"" Clegane",House Lannister,Spear,11
Clegane's horse,House Clegane,1,5,King's Landing,"Gregor ""the Mountain"" Clegane",House Lannister,Sword,12
Stark soldier,House Stark,1,5,Eastern Road,Tribesman,None,Bolo,13
Tribesman,None,1,5,Eastern Road,Bronn,House Lannister,Sword,14
Tribesman,None,1,5,Eastern Road,Bronn,House Lannister,Sword,15
Tribesman,None,1,5,Eastern Road,Bronn,House Lannister,Sword,16
Stark soldier,House Stark,1,5,Eastern Road,Tribesman,None,Mace,17
Tribesman,None,1,5,Eastern Road,Tyrion Lannister,House Lannister,Shield,18
Tribesman,None,1,5,Eastern Road,Rodrik Cassel,House Stark,Sword,19
Tribesman,None,1,5,Eastern Road,Rodrik Cassel,House Stark,Sword,20
Tribesman,None,1,5,Eastern Road,Bronn,House Lannister,Knife,21
Stark soldier,House Stark,1,5,King's Landing,Lannister soldier,House Lannister,Spear,22
Stark soldier,House Stark,1,5,King's Landing,Lannister soldier,House Lannister,Spear,23
Lannister soldier,House Lannister,1,5,King's Landing,Jory Cassel,House Stark,Sword,24
Lannister soldier,House Lannister,1,5,King's Landing,Ned Stark,House Stark,Sword,25
Lannister soldier,House Lannister,1,5,King's Landing,Jory Cassel,House Stark,Sword,26
Lannister soldier,House Lannister,1,5,King's Landing,Jory Cassel,House Stark,Sword,27
Jory Cassel,House Stark,1,5,King's Landing,Jaime Lannister,House Lannister,Knife,28
Wallen,Free Folk,1,6,Winterfell,Robb Stark,House Stark,Sword,29
Wildling,Free Folk,1,6,Winterfell,Robb Stark,House Stark,Sword,30
Stiv,Free Folk,1,6,Winterfell,Theon Greyjoy,House Bolton,Arrow,31
Vardis Egen,House Arryn,1,6,The Eyrie,Bronn,House Lannister,Sword,32
Viserys Targaryen,House Targaryen,1,6,Vaes Dothrak,Khal Drogo,Dothraki,Molten gold,33
Robert Baratheon,House Baratheon of King's Landing,1,7,King's Landing,Boar,None,Tusk,34
Stark soldier,House Stark,1,7,King's Landing,City watch guard,House Lannister,Sword,35
