Owner;Country;Visitors;New visitors;Pageviews;Events;Sessions
Amazon Office;USA;79;68;124;0;114
Athenahealth;USA;45;23;313;0;119
Capita Business Services Ltd;UK;23;6;245;0;179
Administracion Nacional de Telecomunicaciones;Uruguay;20;18;29;0;27
Citigroup;USA;19;19;19;0;19
Anthem Blue Cross Blue Shield;USA;17;16;19;0;18
BFS-49;USA;16;14;45;0;36
Apple;USA;15;13;16;0;16
Capital One Financial Corporation;USA;13;13;13;0;13
Barclays Capital;UK;12;11;16;0;16
CIGNA;USA;11;9;61;0;59
American Express Company;USA;11;11;12;0;12
2M-IT Oy;Finland;10;4;45;0;36
#15E2;USA;10;10;12;0;12
Amdocs Development Centre India Llp;India;10;10;10;0;10
Atos Infogerance SAS;France;9;8;12;0;11
Ace Ina Holdings;USA;9;9;10;0;10
Capgemini India Pvt;India;9;9;9;0;9
Childrens Hospital and Regional Medical Center;USA;8;6;22;0;16
Bank of America;USA;8;8;8;0;8
Capgemini U.S. LLC;France;8;8;8;0;8
Credit Suisse Group;India;8;8;8;0;8
Alibaba;USA;7;5;116;0;19
Association of users of Ukrainian Research & Acade;Ukraine;7;6;29;0;28
BMW;Germany;7;7;9;0;9
Automatic Data Processing;USA;7;7;7;0;7
Bnp Paribas S.A;France;7;6;7;0;7
Carry Telecom;Canada;7;7;7;0;7
CIRB-CIBG;Belgium;6;2;30;0;26
Baystate Health;USA;6;3;19;0;19
Alibaba;China;6;6;18;0;10
Associacao Rede Nacional de Ensino e Pesquisa;Brazil;6;4;12;0;8
Citigroup;European Union;6;5;8;0;8
A1 Makedonija;Macedonia;6;6;7;0;7
Andhra Pradesh State FiberNet Limited;India;6;6;7;0;7
A1 Belarus;Belarus;6;6;6;0;6
Aetna;USA;6;6;6;0;6
Agence Tunisienne d'Internet;Tunisia;6;6;6;0;6
Chunghwa Telecom;Taiwan;6;6;6;0;6
Citibank N.A. - ISP Peering;India;6;6;6;0;6
Computer Sciences Corporation;USA;6;5;6;0;6
Converge;Philippines;6;6;6;0;6
DB Systel GmbH;Germany;6;5;6;0;6
Amanah Tech;Canada;5;4;28;0;23
Assistive Networks and technologies Pvt;India;5;4;12;0;12
Conjoinix Technologies Pvt;India;5;5;12;0;12
Cybersmart;South Africa;5;3;12;0;6
Alibaba;Hong Kong;5;5;10;0;9
CollectiveHealth;USA;5;4;8;0;8
American Express Banking Corp;India;5;5;7;0;7
Consortium GARR;Italy;5;5;7;0;7
Allstream;Canada;5;5;6;0;5
Amazon Office;Germany;5;5;6;0;6
Barclays Capital;Asia-Pacific;5;5;6;0;6
Bulsatcom EAD;Bulgaria;5;5;6;0;6
Andrews & Arnold Ltd;UK;5;5;5;0;5
Bank of Montreal;Canada;5;5;5;0;5
Bell Atlantic;USA;5;5;5;0;5
BlackRock Financial Management;USA;5;5;5;0;5
California Education and Research Federation Netwo;USA;5;5;5;0;5
Continental Broadband Pennsylvania;USA;5;5;5;0;5
Computer Sciences Corporation;UK;4;3;20;0;5
Camtel;Cameroon;4;4;11;0;11
BH Telecom d.d. Sarajevo;Bosnia and Herzegovina;4;4;9;0;8
American Esoteric Laboratories;USA;4;1;8;0;8
Blue Cross Blue Shield of Illinois or Blue Cross B;USA;4;4;6;0;6
Cambrium IT Services B.V;Netherlands;4;4;6;0;6
Ctinet Solucoes Em Conectividade E Informatica Ltd;Brazil;4;4;6;0;6
Cyberlink AG;Switzerland;4;3;6;0;5
AKNET;Kyrgyzstan;4;4;5;0;5
AirFiber Networks Pvt;India;4;4;5;0;5
Anjani Broadband Solutions Pvt.ltd;India;4;4;5;0;5
Bloomberg;USA;4;4;5;0;5
CGI Group;Canada;4;4;5;0;5
CIBC World Markets;Canada;4;4;5;0;5
Choopa;Japan;4;3;5;0;5
Clear-access;South Africa;4;4;5;0;5
AS INFONET;Estonia;4;4;4;0;4
AXS Bolivia S. A;Bolivia;4;4;4;0;4
Absa Bank;South Africa;4;4;4;0;4
Aegon USA;USA;4;4;4;0;4
AllTele;Sweden;4;4;4;0;4
Amdocs (israel) Ltd;Israel;4;4;4;0;4
Australia and New Zealand Banking Group Limited;Australia;4;4;4;0;4
AutoEverSystems Corp;South Korea;4;4;4;0;4
BelWue University Network;Germany;4;4;4;0;4
Caterpillar;USA;4;4;4;0;4
Cdiscount SA;France;4;4;4;0;4
Centurylink-legacy-lvlt;USA;4;3;4;0;4
Charles Schwab & Co;USA;4;4;4;0;4
Choopa;USA;4;4;4;0;4
Company with additional responsibility Company BES;Ukraine;4;4;4;0;4
Connect Communications;Pakistan;4;4;4;0;4
Angelsoft ET;Bulgaria;3;1;54;0;14
Adventist Health Systems SSCI;USA;3;1;53;0;16
Clinical Pathology Laboratories;USA;3;0;40;0;13
Accenture UK Limited;Latvia;3;0;29;0;25
CentraCare Health;USA;3;0;21;0;9
Cedars-Sinai Health Systems;USA;3;0;20;0;11
Carolinas Healthcare System;USA;3;2;19;0;15
Centene Corporation;USA;3;3;17;0;16
Brasilnet Telecomunicacoes Ltda ME;Brazil;3;3;12;0;7
Ascension-texas;USA;3;2;9;0;8
CHAS Health;USA;3;1;9;0;9
Axiom Technologies LLC;USA;3;0;8;0;7
CGI Suomi Oy;Finland;3;1;8;0;7
Claranet Ltd;UK;3;2;7;0;7
Allstate Insurance Company;USA;3;2;6;0;4
Axxess Networks;South Africa;3;1;6;0;4
Condointernet.net;USA;3;2;6;0;3
#15E2;Slovakia;3;3;5;0;4
3S S.A;Poland;3;3;5;0;4
Altima Telecom;Canada;3;3;5;0;4
Business Network Ltd;Belarus;3;3;5;0;5
Caixa Economica Federal;Brazil;3;1;5;0;5
DNIC;USA;3;3;5;0;5
Alberta Health Services;Canada;3;3;4;0;3
Altice Dominicana S.A;Dominican Republic;3;3;4;0;4
Azteca Comunicaciones Colombia;Colombia;3;3;4;0;4
BLUE COAT SYSTEMS;Singapore;3;3;4;0;4
BlackRock Financial Management;UK;3;3;4;0;4
Blue Stream;USA;3;3;4;0;4
Capgemini U.S. LLC;Netherlands;3;1;4;0;4
Credit Suisse Group;USA;3;2;4;0;4
Credit Suisse Group;UK;3;3;4;0;4
CyrusOne LLC;USA;3;3;4;0;3
9mobile;Nigeria;3;3;3;0;3
AMDOCS;USA;3;3;3;0;3
Accenture LLP;USA;3;3;3;0;3
Adobe-net-infra;India;3;3;3;0;3
Airtel Kenya;Kenya;3;3;3;0;3
Alight Solutions LLC;USA;3;3;3;0;3
Allo Communications LLC;USA;3;2;3;0;3
Allstream;USA;3;3;3;0;3
Ameren Corp;USA;3;3;3;0;3
Amerisourcebergen;USA;3;3;3;0;3
Aria Shatel Company Ltd;Iran;3;3;3;0;3
Atlantech Online;USA;3;3;3;0;3
Avago Technologies U.S;USA;3;3;3;0;3
BBT;USA;3;3;3;0;3
BPCE S.A;France;3;3;3;0;3
Baktelekom;Azerbaijan;3;2;3;0;3
Barclays Capital;USA;3;3;3;0;3
Bell MTS;Canada;3;3;3;0;3
CYTA;Cyprus;3;3;3;0;3
Capitec-bank-limited;South Africa;3;3;3;0;3
Centro de Informatica e Automacao do Estado de SC;Brazil;3;2;3;0;3
Citigroup;Asia-Pacific;3;3;3;0;3
City of Philadelphia;USA;3;3;3;0;3
Cybage Software Pvt;India;3;3;3;0;3
Block Solutions Ltd;UK;2;1;255;0;46
Briz;Ukraine;2;1;45;0;14
ABN;Russia;2;0;27;0;8
Chequamegon Communications Cooperative;USA;2;1;20;0;20
Consorci de Serveis Universitaris de Catalunya;Spain;2;2;14;0;11
Alpheus Data Services;USA;2;2;10;0;10
Administration of Sakhalin Region;Russia;2;1;7;0;7
China Unicom Guangzhou;China;2;2;7;0;3
Applied Materials;USA;2;1;6;0;5
Christus Health;USA;2;0;6;0;6
Alaska Communications;USA;2;2;5;0;5
Bnp Paribas S.A;Belgium;2;2;5;0;3
Bredband i Kristianstad AB;Sweden;2;2;5;0;3
County Of Sonoma;USA;2;2;5;0;5
8 Shenton Way;China;2;2;4;0;3
AXA Technology Services UK Limited;Switzerland;2;2;4;0;4
Beanfield Technologies;Canada;2;2;4;0;4
Brown Brothers Harriman & Company;USA;2;2;4;0;4
China Unicom Shenzen;China;2;2;4;0;2
Alcort Ingenieria Y Asesoria S.l;Spain;2;1;3;0;3
Allianz Technology SE;France;2;2;3;0;3
Artec Telecomunicaciones Limitada;Chile;2;0;3;0;3
Ask4 Limited;UK;2;2;3;0;3
Atlantic Metro Communications;USA;2;2;3;0;3
Blue Cross Blue Shield of Massachusetts;USA;2;2;3;0;3
CBizz B.V;Netherlands;2;1;3;0;3
Cerner Corporation;USA;2;2;3;0;3
China Education and Research Network Center;China;2;2;3;0;3
Classic Tech Pvt;Nepal;2;2;3;0;3
Click Net Link Informatica E Telecomunicacoes Ltda;Brazil;2;2;3;0;3
Cloudflare Warp;Spain;2;2;3;0;3
Conduent Business Services;USA;2;1;3;0;3
Credit Acceptance Corporation;USA;2;1;3;0;3
Credit Suisse Group;Singapore;2;2;3;0;3
2talk Global IP Network;New Zealand;2;2;2;0;2
ACCESSKENYA GROUP LTD is an ISP serving;Kenya;2;1;2;0;2
AIRWAYNET;Czech Republic;2;2;2;0;2
ANTIK Telecom s.r.o;Slovakia;2;2;2;0;2
